"File","Hardcoded","AppTheme","ThemeRefs","Total"
"lib\modules\items\items\presentation\sections\items_item_create_primary_info.dart","8","18","0","26"
"lib\modules\items\items\presentation\sections\items_item_create_settings.dart","6","17","0","23"
"lib\modules\items\items\presentation\sections\items_item_create_tabs.dart","3","4","0","7"
"lib\modules\items\items\presentation\sections\items_item_create_widgets.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\items_item_detail_actions.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\items_item_detail_charts.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\items_item_detail_components.dart","12","46","0","58"
"lib\modules\items\items\presentation\sections\items_item_detail_menus.dart","22","19","0","41"
"lib\modules\items\items\presentation\sections\items_item_detail_overview.dart","23","57","0","80"
"lib\modules\items\items\presentation\sections\items_item_detail_price_lists.dart","11","25","0","36"
"lib\modules\items\items\presentation\sections\items_item_detail_stock.dart","35","125","2","162"
"lib\modules\items\items\presentation\sections\items_opening_stock_dialog.dart","33","75","1","109"
"lib\modules\items\items\presentation\sections\items_stock_providers.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\more_info_section.dart","1","3","0","4"
"lib\modules\items\items\presentation\sections\purchase_section.dart","9","16","0","25"
"lib\modules\items\items\presentation\sections\report\column_visibility_manager.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\report\dialogs\bulk_update_dialog.dart","7","50","0","57"
"lib\modules\items\items\presentation\sections\report\dialogs\export_items_dialog.dart","3","3","0","6"
"lib\modules\items\items\presentation\sections\report\dialogs\import_items_dialog.dart","3","6","0","9"
"lib\modules\items\items\presentation\sections\report\dialogs\items_custom_columns.dart","0","10","0","10"
"lib\modules\items\items\presentation\sections\report\item_row.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\report\items_filter_dropdown.dart","3","15","0","18"
"lib\modules\items\items\presentation\sections\report\items_filters.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\report\items_report_body.dart","1","0","0","1"
"lib\modules\items\items\presentation\sections\report\items_report_overview.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\report\items_report_screen.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\report\items_table.dart","13","23","0","36"
"lib\modules\items\items\presentation\sections\report\itemsgrid_view.dart","4","9","0","13"
"lib\modules\items\items\presentation\sections\report\itemslist_view.dart","0","1","0","1"
"lib\modules\items\items\presentation\sections\report\sections\items_report_body_actions.dart","3","16","0","19"
"lib\modules\items\items\presentation\sections\report\sections\items_report_body_components.dart","10","21","0","31"
"lib\modules\items\items\presentation\sections\report\sections\items_report_body_menu.dart","29","29","0","58"
"lib\modules\items\items\presentation\sections\report\sections\items_report_body_table.dart","0","0","0","0"
"lib\modules\items\items\presentation\sections\sales_section.dart","6","12","0","18"
"lib\modules\items\items\presentation\widgets\item_details_sidebar.dart","14","47","0","61"
"lib\modules\items\items\repositories\items_repository_impl.dart","0","0","0","0"
"lib\modules\items\items\repositories\items_repository_provider.dart","0","0","0","0"
"lib\modules\items\items\repositories\items_repository.dart","0","0","0","0"
"lib\modules\items\items\repositories\products_repository.dart","0","0","0","0"
"lib\modules\items\items\repositories\supabase_item_repository.dart","0","0","0","0"
"lib\modules\items\items\services\lookups_api_service.dart","0","0","0","0"
"lib\modules\items\items\services\products_api_service.dart","0","0","0","0"
"lib\modules\items\pricelist\controllers\pricelist_controller.dart","0","0","0","0"
"lib\modules\items\pricelist\models\pricelist_model.dart","0","0","0","0"
"lib\modules\items\pricelist\models\pricelist_model.g.dart","0","0","0","0"
"lib\modules\items\pricelist\models\pricelist_pagination.dart","0","0","0","0"
"lib\modules\items\pricelist\presentation\items_pricelist_create.dart","15","70","0","85"
"lib\modules\items\pricelist\presentation\items_pricelist_edit.dart","14","64","0","78"
"lib\modules\items\pricelist\presentation\items_pricelist_overview.dart","6","43","3","52"
"lib\modules\items\pricelist\presentation\items_pricelist_pricelist_creation.dart","26","140","0","166"
"lib\modules\items\pricelist\presentation\items_pricelist_pricelist_edit.dart","27","137","0","164"
"lib\modules\items\pricelist\presentation\items_pricelist_pricelist_overview.dart","24","94","2","120"
"lib\modules\items\pricelist\providers\pricelist_provider.dart","0","0","0","0"
"lib\modules\items\pricelist\repositories\pricelist_repository.dart","0","0","0","0"
"lib\modules\items\pricelist\services\pricelist_service.dart","0","0","0","0"
"lib\modules\mapping\controller\mapping_controller.dart","0","0","0","0"
"lib\modules\mapping\models\mapping_model.dart","0","0","0","0"
"lib\modules\mapping\presentation\inventory_mapping_mapping_create.dart","0","0","0","0"
"lib\modules\mapping\presentation\inventory_mapping_mapping_list.dart","0","0","0","0"
"lib\modules\printing\models\print_template.dart","0","0","0","0"
"lib\modules\printing\presentation\printing_templates_overview.dart","2","2","9","13"
"lib\modules\printing\repositories\print_template_repository.dart","0","0","0","0"
"lib\modules\printing\services\print_service.dart","0","0","0","0"
"lib\modules\printing\widgets\template_editor.dart","0","0","1","1"
"lib\modules\purchases\bills\models\purchases_bills_bill_model.dart","0","0","0","0"
"lib\modules\purchases\bills\presentation\purchases_bills_create.dart","214","0","1","215"
"lib\modules\purchases\bills\presentation\purchases_bills_list.dart","46","0","0","46"
"lib\modules\purchases\bills\providers\purchases_bills_provider.dart","0","0","0","0"
"lib\modules\purchases\bills\repositories\purchases_bills_repository.dart","0","0","0","0"
"lib\modules\purchases\purchase_orders\models\purchases_purchase_orders_order_model.dart","0","0","0","0"
"lib\modules\purchases\purchase_orders\notifiers\purchase_order_notifier.dart","0","0","0","0"
"lib\modules\purchases\purchase_orders\presentation\purchases_purchase_orders_create.dart","375","0","2","377"
"lib\modules\purchases\purchase_orders\presentation\purchases_purchase_orders_order_overview.dart","0","33","0","33"
"lib\modules\purchases\purchase_orders\providers\purchases_purchase_orders_provider.dart","0","0","0","0"
"lib\modules\purchases\purchase_orders\repositories\purchases_purchase_orders_order_repository_impl.dart","0","0","0","0"
"lib\modules\purchases\purchase_orders\repositories\purchases_purchase_orders_order_repository.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\data\purchase_receive_repository_impl.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\data\purchase_receive_repository.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\models\purchases_purchase_receives_model.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\presentation\purchases_purchase_receives_create.dart","124","0","0","124"
"lib\modules\purchases\purchase_receives\presentation\purchases_purchase_receives_list.dart","81","0","0","81"
"lib\modules\purchases\purchase_receives\providers\purchase_receives_provider.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\providers\purchases_purchase_receives_provider.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\repositories\purchases_purchase_receives_repository_impl.dart","0","0","0","0"
"lib\modules\purchases\purchase_receives\repositories\purchases_purchase_receives_repository.dart","0","0","0","0"
"lib\modules\purchases\vendors\models\purchases_vendors_vendor_model.dart","0","0","0","0"
"lib\modules\purchases\vendors\presentation\purchases_vendors_vendor_create.dart","9","0","0","9"
"lib\modules\purchases\vendors\presentation\purchases_vendors_vendor_list.dart","28","0","0","28"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_address_section.dart","6","0","0","6"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_bank_details_section.dart","13","0","0","13"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_builders.dart","15","0","0","15"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_contact_persons_section.dart","5","0","0","5"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_dialogs.dart","22","0","0","22"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_helpers.dart","2","0","0","2"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_license_section.dart","0","6","0","6"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_other_details_section.dart","28","0","0","28"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_primary_info_section.dart","4","0","0","4"
"lib\modules\purchases\vendors\presentation\sections\purchases_vendors_remarks_section.dart","4","0","0","4"
"lib\modules\purchases\vendors\providers\vendor_provider.dart","0","0","0","0"
"lib\modules\purchases\vendors\repositories\vendor_repository_impl.dart","0","0","0","0"
"lib\modules\purchases\vendors\repositories\vendor_repository.dart","0","0","0","0"
"lib\modules\reports\controller\reports_controller.dart","0","0","0","0"
"lib\modules\reports\models\report_model.dart","0","0","0","0"
"lib\modules\reports\presentation\reports_account_transactions.dart","4","14","0","18"
"lib\modules\reports\presentation\reports_audit_logs_screen.dart","20","198","1","219"
"lib\modules\reports\presentation\reports_center_screen.dart","1","21","0","22"
"lib\modules\reports\presentation\reports_general_ledger_screen.dart","2","12","0","14"
"lib\modules\reports\presentation\reports_inventory_inventory_stock.dart","0","0","0","0"
"lib\modules\reports\presentation\reports_inventory_valuation_screen.dart","3","19","0","22"
"lib\modules\reports\presentation\reports_profit_and_loss_screen.dart","2","13","0","15"
"lib\modules\reports\presentation\reports_reports_overview.dart","3","12","0","15"
"lib\modules\reports\presentation\reports_sales_by_customer_screen.dart","3","14","0","17"
"lib\modules\reports\presentation\reports_sales_sales_daily.dart","5","3","0","8"
"lib\modules\reports\presentation\reports_trial_balance_screen.dart","3","15","0","18"
"lib\modules\reports\repositories\reports_repository.dart","0","0","0","0"
"lib\modules\sales\controllers\sales_order_controller.dart","0","0","0","0"
"lib\modules\sales\models\gstin_lookup_model.dart","0","0","0","0"
"lib\modules\sales\models\hsn_sac_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_customer_detail_context_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_customer_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_eway_bill_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_order_item_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_order_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_payment_link_model.dart","0","0","0","0"
"lib\modules\sales\models\sales_payment_model.dart","0","0","0","0"
"lib\modules\sales\presentation\sales_credit_note_create.dart","2","7","0","9"
"lib\modules\sales\presentation\sales_customer_create.dart","3","3","0","6"
"lib\modules\sales\presentation\sales_customer_overview.dart","2","11","0","13"
"lib\modules\sales\presentation\sales_delivery_challan_create.dart","0","3","0","3"
"lib\modules\sales\presentation\sales_document_detail.dart","86","1","0","87"
"lib\modules\sales\presentation\sales_eway_bill_create.dart","0","2","0","2"
"lib\modules\sales\presentation\sales_generic_list.dart","4","9","0","13"
"lib\modules\sales\presentation\sales_invoice_create.dart","4","13","0","17"
"lib\modules\sales\presentation\sales_order_create.dart","350","0","0","350"
"lib\modules\sales\presentation\sales_order_overview.dart","53","212","0","265"
"lib\modules\sales\presentation\sales_payment_create.dart","1","2","0","3"
"lib\modules\sales\presentation\sales_payment_link_create.dart","1","1","0","2"
"lib\modules\sales\presentation\sales_quotation_create.dart","2","7","0","9"
"lib\modules\sales\presentation\sales_recurring_invoice_create.dart","0","3","0","3"
"lib\modules\sales\presentation\sales_retainer_invoice_create.dart","0","2","0","2"
"lib\modules\sales\presentation\sections\sales_customer_address_section.dart","1","4","0","5"
"lib\modules\sales\presentation\sections\sales_customer_attributes_section.dart","8","0","0","8"
"lib\modules\sales\presentation\sections\sales_customer_builders.dart","33","16","1","50"
"lib\modules\sales\presentation\sections\sales_customer_contact_persons_section.dart","3","3","0","6"
"lib\modules\sales\presentation\sections\sales_customer_custom_fields_section.dart","1","0","0","1"
"lib\modules\sales\presentation\sections\sales_customer_dialogs.dart","40","0","0","40"
"lib\modules\sales\presentation\sections\sales_customer_helpers.dart","2","0","0","2"
"lib\modules\sales\presentation\sections\sales_customer_licence_section.dart","0","6","0","6"
"lib\modules\sales\presentation\sections\sales_customer_other_details_section.dart","1","3","0","4"
"lib\modules\sales\presentation\sections\sales_customer_overview_actions.dart","22","0","0","22"
"lib\modules\sales\presentation\sections\sales_customer_overview_left_panel.dart","14","0","0","14"
"lib\modules\sales\presentation\sections\sales_customer_overview_other_tabs.dart","33","0","1","34"
"lib\modules\sales\presentation\sections\sales_customer_overview_tab.dart","69","0","1","70"
"lib\modules\sales\presentation\sections\sales_customer_primary_info_section.dart","1","3","0","4"
"lib\modules\sales\presentation\sections\sales_customer_remarks_section.dart","2","0","0","2"
"lib\modules\sales\presentation\sections\sales_customer_reporting_tags_section.dart","1","0","0","1"
"lib\modules\sales\presentation\sections\sales_generic_list_columns.dart","20","0","0","20"
"lib\modules\sales\presentation\sections\sales_generic_list_filter.dart","14","0","0","14"
"lib\modules\sales\presentation\sections\sales_generic_list_import_export_dialog.dart","29","0","0","29"
"lib\modules\sales\presentation\sections\sales_generic_list_search_dialog.dart","19","0","0","19"
"lib\modules\sales\presentation\sections\sales_generic_list_table_logic.dart","2","0","0","2"
"lib\modules\sales\presentation\sections\sales_generic_list_table.dart","16","0","0","16"
"lib\modules\sales\presentation\sections\sales_generic_list_ui.dart","43","0","0","43"
"lib\modules\sales\presentation\widgets\advanced_customer_search_dialog.dart","13","9","0","22"
"lib\modules\sales\presentation\widgets\custom_date_picker.dart","16","0","0","16"
"lib\modules\sales\presentation\widgets\sales_order_item_row.dart","0","0","0","0"
"lib\modules\sales\presentation\widgets\sales_order_preferences_dialog.dart","20","0","0","20"
"lib\modules\sales\repositories\customers_repository.dart","0","0","0","0"
"lib\modules\sales\repositories\eway_bills_repository.dart","0","0","0","0"
"lib\modules\sales\repositories\payments_repository.dart","0","0","0","0"
"lib\modules\sales\repositories\sales_orders_repository.dart","0","0","0","0"
"lib\modules\sales\services\gstin_lookup_service.dart","0","0","0","0"
"lib\modules\sales\services\hsn_sac_lookup_service.dart","0","0","0","0"
"lib\modules\sales\services\sales_order_api_service.dart","0","0","0","0"
"lib\modules\settings\controller\settings_controller.dart","0","0","0","0"
"lib\modules\settings\presentation\settings_settings_overview.dart","0","0","0","0"
"lib\modules\settings\providers\navigation_provider.dart","0","0","0","0"
"lib\modules\settings\users_roles\models\role_permission_models.dart","0","0","0","0"
"lib\modules\settings\users_roles\providers\role_creation_provider.dart","0","0","0","0"
"lib\modules\settings\users_roles\providers\role_permission_scheme.dart","0","0","0","0"
"lib\modules\settings\users_roles\settings_users_roles_role_creation.dart","68","19","0","87"
"lib\modules\settings\users\presentation\settings_users_user_creation.dart","32","38","0","70"
"lib\modules\settings\users\presentation\settings_users_user_overview.dart","13","12","0","25"
